2019/01/16 17:39:21.298 [D] [operationquery.go:49]  使用的地址为,时间是1546133808
2019/01/16 17:39:21.300 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 17:40:17.441 [D] [operationquery.go:49]  使用的地址为,时间是1546133864
2019/01/16 17:40:17.444 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 17:42:10.105 [D] [operationquery.go:49]  使用的地址为,时间是1546133977
2019/01/16 17:42:10.108 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 17:44:18.237 [D] [operationquery.go:49]  使用的地址为,时间是1546134105
2019/01/16 17:44:18.239 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
2019/01/16 17:46:45.573 [D] [operationquery.go:49]  使用的地址为,时间是1546134252
2019/01/16 17:46:45.576 [D] [operationquery.go:60]  传入后端的数据有,serverId:32000,fields:javaDir,gameDBName,opentime,platformAlias:yy_zsfy,gameAlias:zsfy
